,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,1,1.0272550582885742,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,2,1.00423002243042,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,3,1.0062189102172852,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,4,1.0119819641113281,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,5,1.0132379531860352,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,6,1.0062391757965088,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,7,1.041071891784668,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,8,1.0107510089874268,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,9,1.0043261051177979,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,10,4.535984992980957,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,1,1.0450491905212402,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,2,1.0146830081939697,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,3,1.0069141387939453,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,4,1.021881103515625,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,5,1.0059340000152588,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,6,1.0155699253082275,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,7,1.036836862564087,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,8,1.010369062423706,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,9,1.013988971710205,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_x_0_5_pitch_y_0_7,10,4.441879034042358,False,,,,,,,,
